Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Yusuke Satake,60-67.5,65.35444444444444,21.5,16.9,23.0,5.0,1.0,IPF,Asia,41.042118301450586,12.488791573082302,536.7947700064007,4241.0,33.11917808219178,2111.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yusuke Takeda,93-105,102.9346153846154,26.5,26.5,22.0,0.0,1.0,IPF,Asia,12.23239130238985,5.545132684757802,491.1974265007472,2130.0,32.33561643835616,330.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yves Coque,75-83,81.08600000000001,43.0,43.0,27.0,0.0,0.0,IPF,Europe,26.773551722293103,7.163822145551777,305.3766297855477,2850.0,50.80821917808219,150.0,True,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yves Le Chequer,83-93,90.31666666666666,58.0,58.0,27.0,0.0,0.0,IPF,Europe,22.850121241724647,8.85592671275703,307.96318355518304,810.0,60.21917808219178,420.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yves Martial Kouma Ella,83-93,88.71428571428571,36.0,36.0,31.0,0.0,0.0,Non-IPF,Europe,17.05646290486276,,380.0,0.0,36.0,810.0,False,0,0,Europe_Africa,1.0,0.0,1.0,0.0
Zach Dichard,75-83,80.75,22.5,21.5,28.0,2.0,1.0,IPF,North America,9.879486959751038,2.7370974680540208,394.0820765685087,2570.0,29.541095890410958,2150.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zach Krysiak,75-83,79.19999999999999,19.5,19.5,27.0,0.0,0.0,IPF,North America,20.753280246299614,5.634043423437133,393.59034055920404,2610.0,26.65068493150685,840.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zach Taylor #1,60-67.5,65.27666666666666,18.5,18.5,29.0,0.0,0.0,IPF,North America,30.338918951526043,13.74000048067423,516.5604291114741,2100.0,24.253424657534246,960.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zachary Gomez,60-67.5,65.1888888888889,44.5,44.5,27.0,0.0,0.0,IPF,North America,18.420368247868034,7.1271308215271825,300.82224389820857,750.0,46.554794520547944,540.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zachary Klapp,67.5-75,73.61500000000001,22.5,22.5,27.0,0.0,1.0,IPF,North America,22.94916958881678,8.48537441539386,448.04714464553354,1860.0,27.595890410958905,1470.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zachary Moss,120-160,135.47142857142856,28.5,28.5,26.0,0.0,0.0,IPF,North America,12.004023124309192,,454.4857961501468,570.0,30.061643835616437,510.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zachary Reinig,93-105,98.10000000000001,24.0,24.0,29.0,0.0,0.0,Non-IPF,North America,15.78932644380158,6.128026217054587,442.26212522526845,1170.0,27.205479452054796,1050.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Zachary Sultana,83-93,90.49285714285713,18.0,16.0,27.0,2.0,1.0,Non-IPF,Oceania,13.974623113966437,,410.753193984602,2796.0,25.660273972602738,2736.0,False,0,0,Asia_Oceania,1.0,1.0,0.0,0.0
Zachery Ditson,93-105,96.63571428571429,24.5,24.5,32.0,0.0,0.0,IPF,North America,58.58943024440228,15.9421714091255,438.00580526102596,1200.0,27.78767123287671,900.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zack Austin #1,93-105,98.22666666666667,44.5,44.5,29.0,0.0,0.0,IPF,North America,27.444255782936473,12.342713263324521,351.06469287266276,1440.0,48.445205479452056,810.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zack Chwok,93-105,102.20833333333333,19.5,18.5,25.0,3.0,2.0,IPF,North America,14.302833881521941,7.257300801304018,485.310758769149,3460.0,28.97945205479452,3310.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zako Fong,60-67.5,65.3157142857143,21.0,21.0,29.0,0.0,0.0,IPF,Oceania,29.321288211152122,13.337240071517309,406.9224031323798,870.0,23.383561643835616,480.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Zalim Kuvambaev,93-105,104.93333333333334,27.0,26.0,22.0,1.0,1.0,IPF,Asia,11.322940800148752,3.773469531831134,504.0756826970202,1847.0,32.060273972602744,1517.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Zaw Thiha,60-67.5,66.27533333333334,25.5,25.5,26.0,0.0,1.0,IPF,North America,6.115935038454727,5.943603919189523,479.87451308492837,2400.0,32.07534246575342,120.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zdeněk Ponočný,93-105,101.307,37.5,37.5,22.0,0.0,1.0,IPF,Europe,15.488633565704143,6.116318679506891,391.40821647067554,1860.0,42.5958904109589,1680.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Zebulon Bare,105-120,111.34285714285714,32.0,32.0,30.0,0.0,0.0,Non-IPF,North America,19.803987469296967,5.996749198947675,380.135382390545,1200.0,35.28767123287671,1020.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Zhane Mu,67.5-75,73.96666666666667,22.0,22.0,33.0,0.0,0.0,IPF,Oceania,14.685475674134116,12.438991914918624,472.597600569665,660.0,23.80821917808219,150.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Zihao Qing,93-105,102.08,19.5,19.5,34.0,0.0,0.0,IPF,North America,70.43009358804561,14.245558131033754,455.72771499728935,480.0,20.815068493150683,270.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Zoltán Kanát,105-120,115.98800000000001,52.5,52.5,25.0,0.0,0.0,IPF,Europe,11.744918886022068,4.691787418492717,413.26518713505266,600.0,54.14383561643836,420.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Zsolt Béres,67.5-75,73.41499999999999,33.5,33.5,22.0,0.0,2.0,IPF,Europe,11.055255015429179,4.925166274278578,359.1783652437058,930.0,36.04794520547945,690.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Zsolt Papp,120-160,139.5375,33.5,33.5,23.0,0.0,0.0,IPF,Europe,22.611583006232053,1.828010365645477,400.52376250870566,3240.0,42.37671232876713,360.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Álvaro Iglesias Santos,75-83,81.10166666666665,23.0,23.0,30.0,0.0,0.0,IPF,Europe,44.49109759075406,21.11891649162737,456.20060446949657,1140.0,26.123287671232877,450.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Álvaro Pedro Ponce,75-83,81.0025,21.5,21.5,29.0,0.0,0.0,IPF,Europe,46.83958574366504,13.085634813848255,499.97393262865535,1620.0,25.938356164383563,360.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Álvaro Tardón Gil,60-67.5,65.73249999999999,30.5,30.5,25.0,0.0,0.0,IPF,Europe,5.9746347367019235,2.1814301681144075,354.1246772690529,870.0,32.88356164383562,660.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Ángel Gámez Carmona,75-83,81.525,23.5,23.5,30.0,0.0,1.0,IPF,Europe,39.644701865064015,11.744724084382057,380.2417855640878,1050.0,26.376712328767123,390.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Ángel Luis Pajuelo Muñoz,83-93,91.46625,57.5,57.5,29.0,0.0,1.0,IPF,Europe,23.239852288092184,10.767218607261025,367.9822800172512,1710.0,62.18493150684932,450.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Ángel Rómulo Gabaldón Ortega,83-93,89.76818181818182,36.5,36.5,29.0,0.0,0.0,IPF,Europe,18.712528558139276,9.918520344939116,378.2869419750579,2220.0,42.582191780821915,1830.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Ørjan Leirheim,120-160,134.762,40.5,40.5,26.0,0.0,0.0,IPF,Europe,18.448655379265247,,404.14957943834776,450.0,41.73287671232877,360.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Øystein Aas,93-105,101.14363636363636,38.3,38.3,23.0,0.0,0.0,IPF,Europe,44.323492581399826,9.751276043151181,404.6891095546587,2130.0,44.13561643835616,300.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Øystein Furnes,93-105,104.26714285714286,26.6,24.5,25.0,5.0,2.0,IPF,Europe,15.138716178909743,2.5666213115581615,435.5466223417798,1412.0,30.46849315068493,1022.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Þorbergur Guðmundsson,120-160,144.4714285714286,20.5,20.5,24.0,0.0,0.0,IPF,Other/Unknown,20.650647408120957,13.417769760340839,394.22273175557535,990.0,23.21232876712329,240.0,False,0,0,Other,0.0,0.0,0.0,1.0
Łukasz Głowacz,83-93,92.39875,43.5,36.9,24.0,5.0,2.0,IPF,Europe,17.854435633181602,,333.0711022618175,2712.0,50.93013698630137,2622.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Łukasz Nizio,105-120,114.3942857142857,22.5,20.5,23.0,1.0,2.0,IPF,Europe,16.663962308511696,6.977129996573669,466.97122301132225,1428.0,26.412328767123288,1038.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Šarūnas Tolvaiša,60-67.5,65.57923076923078,23.5,23.5,24.0,0.0,1.0,IPF,Other/Unknown,23.462973915991917,9.132114237299977,445.9595378080876,1740.0,28.267123287671232,540.0,False,0,0,Other,0.0,0.0,0.0,1.0
Šimon Falta,75-83,81.68166666666666,18.5,16.5,31.0,5.0,1.0,IPF,Europe,17.77266763167115,9.21460233034476,445.0891321955685,959.0,21.127397260273973,719.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Šimon Král,120-160,141.67874999999998,19.0,17.0,29.0,10.0,1.0,IPF,Europe,38.353888146372825,14.882943469702518,451.32025862166034,2225.0,25.095890410958905,1175.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Štefan Koľšovský,50-60,58.6311111111111,54.5,54.5,26.0,0.0,0.0,IPF,Other/Unknown,8.62429699778164,2.8548999691275703,367.33509629844457,1380.0,58.28082191780822,1140.0,False,0,0,Other,0.0,0.0,0.0,1.0
Štěpán Küschner,105-120,114.06333333333333,20.5,16.5,28.0,10.0,1.0,IPF,Europe,21.66939700727636,17.6057590863133,400.68822516811457,2089.0,26.223287671232875,1909.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
中根 孝弘,93-105,102.67166666666667,44.5,44.5,26.0,0.0,0.0,IPF,Asia,12.906164134523284,7.251315018458697,416.3651297813768,1410.0,48.363013698630134,420.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
丹羽 弘典,60-67.5,65.19181818181818,53.0,53.0,24.0,0.0,0.0,IPF,Asia,10.379977115729123,,370.91813442398313,360.0,53.986301369863014,330.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
二宮 正晴,93-105,103.90333333333332,53.0,43.0,15.0,2.0,2.0,IPF,Asia,2.792707040921316,2.0995838792403863,344.75277228100606,4364.0,64.95616438356164,4034.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
仲村 龍治,67.5-75,73.73555555555555,32.0,32.0,23.0,0.0,0.0,IPF,Asia,14.348368972127366,4.621982904946918,443.36004915205825,3120.0,40.54794520547945,930.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
