Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Gwen Marsden,40-52,44.213,18.0,18.0,27.0,0.0,0.0,IPF,Europe,123.33485850067264,54.845211740162306,484.6005262856633,630.0,19.726027397260275,420.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gwen Mostert,69-76,70.29444444444444,29.5,29.5,19.0,0.0,1.0,IPF,Europe,82.09371612486507,24.026256585901685,416.88233028599865,900.0,31.965753424657535,390.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gwendelyn Grasdal,100-120,110.37,47.5,47.5,18.0,0.0,0.0,IPF,North America,35.05021324936237,12.684448084580382,270.03833035885503,570.0,49.06164383561644,120.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Haingotiana Rasamimanantsoa,63-69,65.125,21.5,21.5,25.0,1.0,1.0,IPF,Europe,69.94755050678246,23.11379223446676,414.96898295913013,589.0,23.113698630136987,229.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hala Trad,69-76,71.64125,26.5,26.5,21.0,0.0,0.0,Non-IPF,Oceania,47.396956557546574,5.014939064295089,404.4457894753805,840.0,28.801369863013697,330.0,False,0,0,Asia_Oceania,1.0,1.0,0.0,0.0
Haley Echelmeier,63-69,67.64666666666666,25.0,23.0,23.0,1.0,1.0,IPF,North America,23.903587837000824,9.271567605444528,454.9439295307131,2185.0,30.986301369863014,1135.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Haley Hunter #1,63-69,67.64571428571429,19.0,17.0,23.0,6.0,2.0,IPF,North America,60.559278162610305,23.801334520912025,496.8695462917552,1408.0,22.85753424657534,1168.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Haley Sheehan,63-69,66.22666666666666,23.0,22.0,25.0,1.0,1.0,IPF,North America,31.387638447467637,27.07975346538128,493.5203828399858,1066.0,25.92054794520548,586.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hana Takáčová,84-100,87.63999999999999,57.5,57.5,16.0,0.0,1.0,IPF,Europe,12.922237849981839,,348.87,0.0,57.5,2790.0,False,1,0,Europe_Africa,0.0,0.0,1.0,0.0
Hanna Arkwright,69-76,74.04166666666667,18.5,17.5,23.0,2.0,2.0,IPF,North America,56.66790496730414,20.885265994705065,388.9020094753598,1378.0,22.275342465753425,688.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hanna Karhu,63-69,68.36428571428573,37.5,37.5,26.0,0.0,1.0,IPF,Europe,10.197210879834552,5.954946093577009,378.4806639783578,780.0,39.636986301369866,150.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hanna Rantala,40-52,49.606875,31.5,31.5,18.0,0.0,1.0,IPF,Europe,29.95923871129415,9.798190606201162,463.49669175961714,1770.0,36.34931506849315,510.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hanna Seppä,52-57,56.54666666666666,21.5,21.5,19.0,0.0,2.0,IPF,Europe,40.19169773197235,12.338117853104281,423.9543583914798,1350.0,25.198630136986303,690.0,False,1,1,Europe_Africa,0.0,0.0,1.0,0.0
Hanna-Leena Kivijärvi,76-84,81.01083333333334,31.5,31.5,21.0,0.0,1.0,IPF,Europe,55.73618728667704,18.29441966764892,409.9411514352022,1140.0,34.62328767123287,180.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hannah Bryan,69-76,72.54857142857144,21.5,20.5,21.0,4.0,1.0,IPF,North America,62.66721060415739,13.047289258694581,426.3839650080349,1357.0,25.21780821917808,787.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Burkhardt,63-69,66.25833333333334,30.0,29.0,24.0,1.0,2.0,Non-IPF,North America,21.339662028231103,6.458147218062957,381.1204684341356,1442.0,33.95068493150685,1202.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Hannah Ghindea,69-76,70.54714285714284,21.5,21.5,18.0,0.0,1.0,IPF,North America,52.954794449280534,20.245267490848004,392.896629020378,930.0,24.04794520547945,570.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Ivester,63-69,66.7,23.0,22.0,24.0,1.0,1.0,IPF,North America,71.00312619741779,19.22747434779333,411.90297258976494,797.0,25.183561643835617,617.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Jenny,63-69,67.26166666666667,26.5,24.5,24.0,3.0,3.0,IPF,North America,50.34848100356295,7.008824404295965,483.87827126363413,1469.0,30.524657534246575,1199.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Kleman,63-69,66.72333333333331,20.5,20.5,19.0,1.0,1.0,IPF,North America,52.57571600641869,25.726984248270636,400.20367773152634,570.0,22.061643835616437,390.0,False,0,0,Americas,0.0,0.0,0.0,0.0
